stock_id,stock_name,listing_date
5536,聖暉*,2010-11-10
5543,桓鼎-KY,2016-05-09
5547,久舜,2026-02-03
5548,安倉,2024-03-18
5601,台聯櫃,1994-11-24
5603,陸海,1997-01-25
5604,中連,1997-05-22
5609,中菲行,2001-10-15
5701,劍湖山,1998-03-12
5703,亞都麗緻,1999-06-15
5704,老爺知,1999-12-21
5864,致和證,2018-04-02
5878,台名,2014-10-28
5902,德記,1998-02-07
5903,全家,2002-02-25
5904,寶雅,2002-09-06
5905,南仁湖,2003-06-17
6015,宏遠證,1996-07-25
6016,康和證,1996-12-04
6020,大展證,2003-01-23
6021,美好證,2003-04-21
6023,元大期貨,2007-11-28
6026,福邦證,2016-01-27
6028,公勝保經,2026-03-30
6101,寬魚國際,2001-03-29
6103,合邦,2001-05-07
6104,創惟,2001-05-22
6109,亞元,2001-07-26
6111,光聚晶電,2001-08-08
6113,亞矽,2001-08-10
6114,久威,2001-09-27
6118,建達,2001-10-25
6121,新普,2001-11-27
6122,擎邦,2000-07-14
6123,上奇,2002-01-23
6124,業強,2002-03-19
6125,廣運,2002-01-23
6126,信音,2002-01-18
6127,九豪,2002-01-10
6129,普誠,2001-12-25
6130,上亞科技,2002-03-26
6134,萬旭,2002-01-08
6138,茂達,2002-01-18
6140,訊達電腦,2002-02-04
6143,振曜,2002-01-28
6144,得利影,2002-01-23
6146,耕興,2002-01-23
6147,頎邦,2002-01-31
6148,驊宏資,2002-02-01
6150,撼訊,2002-03-11
6151,晉倫,2002-02-25
6154,順發,2002-02-18
6156,松上,2002-02-19
6158,禾昌,2002-02-19
6160,欣技,2002-03-01
6161,捷波,2002-03-01
6163,華電網,2002-03-19
6167,久正,2002-03-26
6169,昱泉,2002-03-22
6170,統振,2002-04-16
6171,大城地產,2002-04-22
6173,信昌電,2002-04-19
6174,安碁,2002-05-02
6175,立敦,2002-06-10
