event_id,stock_id,stock_name,signal_date,entry_percentile,entry_trigger,status,end_signal_date,end_reason
P6D-TWSE-6770-2026-05-20,6770,力積電,2026-05-20,92.47311827956989,TOP10_CONFIRM_3D,ENDED,2026-07-17,TWSE_DAY40_END
P6D-TWSE-5269-2026-05-21,5269,祥碩,2026-05-21,90.61662198391421,TOP10_CONFIRM_3D,ENDED,2026-07-20,TWSE_DAY40_END
P6D-TWSE-2481-2026-05-22,2481,強茂,2026-05-22,90.1595744680851,TOP10_CONFIRM_3D,ENDED,2026-07-21,TWSE_DAY40_END
P6D-TWSE-3045-2026-06-01,3045,台灣大,2026-06-01,90.7035175879397,TOP10_CONFIRM_3D,ENDED,2026-07-29,TWSE_DAY40_END
P6D-TWSE-3481-2026-06-03,3481,群創,2026-06-03,95.75,TOP10_CONFIRM_3D,ENDED,2026-07-31,TWSE_DAY40_END
P6D-TWSE-1605-2026-06-04,1605,華新,2026-06-04,98.25436408977556,TOP10_CONFIRM_3D,ENDED,2026-08-03,TWSE_DAY40_END
P6D-TWSE-2409-2026-06-04,2409,友達,2026-06-04,92.26932668329178,TOP10_CONFIRM_3D,ENDED,2026-08-03,TWSE_DAY40_END
P6D-TWSE-2609-2026-06-04,2609,陽明,2026-06-04,99.75062344139651,TOP10_CONFIRM_3D,ENDED,2026-08-03,TWSE_DAY40_END
P6D-TWSE-1101-2026-06-05,1101,台泥,2026-06-05,93.30024813895783,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2606-2026-06-08,2606,裕民,2026-06-08,98.76847290640394,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3036-2026-06-08,3036,文曄,2026-06-08,95.32019704433498,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6202-2026-06-08,6202,盛群,2026-06-08,90.39408866995073,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6176-2026-06-10,6176,瑞儀,2026-06-10,98.80668257756562,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6196-2026-06-10,6196,帆宣,2026-06-10,94.27207637231504,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-8926-2026-06-10,8926,台汽電,2026-06-10,97.3747016706444,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2637-2026-06-11,2637,慧洋-KY,2026-06-11,93.55608591885442,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3231-2026-06-11,3231,緯創,2026-06-11,97.85202863961814,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3711-2026-06-11,3711,日月光投控,2026-06-11,96.18138424821002,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6412-2026-06-12,6412,群電,2026-06-12,99.03614457831326,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6757-2026-06-12,6757,台灣虎航,2026-06-12,97.59036144578313,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2892-2026-06-16,2892,第一金,2026-06-16,95.98108747044918,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6446-2026-06-16,6446,藥華藥,2026-06-16,92.90780141843972,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-1476-2026-06-17,1476,儒鴻,2026-06-17,95.04716981132076,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3015-2026-06-17,3015,全漢,2026-06-17,96.22641509433963,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3026-2026-06-17,3026,禾伸堂,2026-06-17,95.51886792452831,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-1303-2026-06-18,1303,南亞,2026-06-18,98.11764705882354,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-1504-2026-06-18,1504,東元,2026-06-18,95.29411764705881,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2317-2026-06-18,2317,鴻海,2026-06-18,96.94117647058823,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2404-2026-06-22,2404,漢唐,2026-06-22,91.07981220657277,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3706-2026-06-22,3706,神達,2026-06-22,90.3755868544601,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2207-2026-06-23,2207,和泰車,2026-06-23,94.10377358490565,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6285-2026-06-23,6285,啟碁,2026-06-23,90.56603773584906,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2059-2026-06-24,2059,川湖,2026-06-24,98.812351543943,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2412-2026-06-24,2412,中華電,2026-06-24,98.33729216152018,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3008-2026-06-24,3008,大立光,2026-06-24,90.49881235154395,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-5880-2026-06-24,5880,合庫金,2026-06-24,97.14964370546319,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6239-2026-06-24,6239,力成,2026-06-24,94.29928741092637,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2474-2026-06-25,2474,可成,2026-06-25,98.09523809523809,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3665-2026-06-25,3665,貿聯-KY,2026-06-25,93.33333333333333,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2330-2026-06-26,2330,台積電,2026-06-26,92.39904988123516,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3014-2026-06-26,3014,聯陽,2026-06-26,90.97387173396675,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3017-2026-06-29,3017,奇鋐,2026-06-29,90.16786570743405,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6531-2026-06-29,6531,愛普*,2026-06-29,96.64268585131894,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-1102-2026-06-30,1102,亞泥,2026-06-30,100.0,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2395-2026-06-30,2395,研華,2026-06-30,95.62043795620438,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2610-2026-07-01,2610,華航,2026-07-01,96.07843137254902,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-1210-2026-07-03,1210,大成,2026-07-03,92.75,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-1215-2026-07-06,1215,卜蜂,2026-07-06,91.25,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6831-2026-07-06,6831,邁科,2026-07-06,95.75,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6282-2026-07-07,6282,康舒,2026-07-07,94.7103274559194,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2006-2026-07-08,2006,東和鋼鐵,2026-07-08,96.93877551020408,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2347-2026-07-08,2347,聯強,2026-07-08,97.44897959183673,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3037-2026-07-08,3037,欣興,2026-07-08,95.40816326530613,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6271-2026-07-09,6271,同欣電,2026-07-09,95.1530612244898,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-8081-2026-07-09,8081,致新,2026-07-09,96.68367346938776,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-4904-2026-07-13,4904,遠傳,2026-07-13,97.70992366412213,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6257-2026-07-13,6257,矽格,2026-07-13,91.0941475826972,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2337-2026-07-14,2337,旺宏,2026-07-14,94.14758269720102,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2376-2026-07-15,2376,技嘉,2026-07-15,91.6030534351145,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2890-2026-07-15,2890,永豐金,2026-07-15,96.18320610687023,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3189-2026-07-15,3189,景碩,2026-07-15,98.21882951653944,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-3533-2026-07-15,3533,嘉澤,2026-07-15,92.36641221374046,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-5876-2026-07-15,5876,上海商銀,2026-07-15,95.16539440203562,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-6789-2026-07-15,6789,采鈺,2026-07-15,93.38422391857506,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-8016-2026-07-16,8016,矽創,2026-07-16,93.12977099236642,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-1326-2026-07-17,1326,台化,2026-07-17,94.11764705882352,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2379-2026-07-17,2379,瑞昱,2026-07-17,92.32736572890026,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
P6D-TWSE-2441-2026-07-17,2441,超豐,2026-07-17,90.02557544757033,TOP10_CONFIRM_3D,TWSE_TRACK_CONFIRMED,,
